iter	Passed	Remaining
809	16966	3979
810	16986	3958
811	17007	3937
812	17031	3917
813	17056	3897
814	17083	3877
815	17105	3857
816	17126	3836
817	17147	3815
818	17168	3794
819	17188	3773
820	17207	3751
821	17228	3730
822	17249	3709
823	17268	3688
824	17285	3666
825	17304	3645
826	17326	3624
827	17349	3604
828	17369	3582
829	17392	3562
830	17416	3541
831	17442	3522
832	17467	3501
833	17493	3481
834	17514	3460
835	17536	3440
836	17558	3419
837	17580	3398
838	17603	3377
839	17623	3356
840	17645	3336
841	17661	3314
842	17679	3292
843	17700	3271
844	17719	3250
845	17741	3229
846	17765	3209
847	17787	3188
848	17817	3169
849	17843	3148
850	17870	3128
851	17893	3108
852	17916	3087
853	17940	3067
854	17959	3045
855	17983	3025
856	18001	3003
857	18018	2982
858	18040	2961
859	18057	2939
860	18079	2918
861	18100	2897
862	18123	2877
863	18146	2856
864	18168	2835
865	18188	2814
866	18206	2792
867	18228	2772
868	18252	2751
869	18274	2730
870	18290	2708
871	18311	2687
872	18334	2667
873	18369	2648
874	18395	2627
875	18424	2608
876	18450	2587
877	18476	2567
878	18499	2546
879	18516	2524
880	18535	2503
881	18555	2482
882	18572	2460
883	18594	2440
884	18614	2418
885	18643	2398
886	18664	2377
887	18688	2357
888	18709	2336
889	18727	2314
890	18751	2293
891	18767	2272
892	18788	2251
893	18807	2230
894	18826	2208
895	18858	2188
896	19031	2185
897	19096	2169
898	19117	2147
899	19142	2126
900	19166	2105
901	19188	2084
902	19214	2064
903	19234	2042
904	19254	2021
905	19275	1999
906	19292	1978
907	19321	1957
908	19343	1936
909	19370	1915
910	19400	1895
911	19429	1874
912	19464	1854
913	19490	1833
914	19528	1814
915	19570	1794
916	19605	1774
917	19643	1754
918	19688	1735
919	19727	1715
920	19760	1694
921	19793	1674
922	19830	1654
923	19898	1636
924	19988	1620
925	20056	1602
926	20089	1582
927	20121	1561
928	20144	1539
929	20172	1518
930	20198	1496
931	20222	1475
932	20247	1453
933	20276	1432
934	20315	1412
935	20349	1391
936	20371	1369
937	20391	1347
938	20407	1325
939	20429	1304
940	20448	1282
941	20469	1260
942	20492	1238
943	20518	1217
944	20539	1195
945	20561	1173
946	20579	1151
947	20597	1129
948	20622	1108
949	20644	1086
950	20665	1064
951	20690	1043
952	20713	1021
953	20734	999
954	20750	977
955	20769	955
956	20788	934
957	20808	912
958	20831	890
959	20848	868
960	20866	846
961	20884	824
962	20904	803
963	20925	781
964	20949	759
965	20966	737
966	20987	716
967	21009	694
968	21027	672
969	21050	651
970	21071	629
971	21096	607
972	21122	586
973	21147	564
974	21173	542
975	21201	521
976	21218	499
977	21239	477
978	21262	456
979	21279	434
980	21299	412
981	21324	390
982	21349	369
983	21371	347
984	21392	325
985	21413	304
986	21436	282
987	21455	260
988	21474	238
989	21491	217
990	21508	195
991	21526	173
992	21546	151
993	21568	130
994	21589	108
995	21606	86
996	21628	65
997	21650	43
998	21671	21
999	21692	0
